experiment_id,dataset,split,metric,value,unit
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,R2R,val_seen,oracle_error,1.23,m
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,R2R,val_seen,sr,80.22,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,R2R,val_seen,oracle_sr,86.58,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,R2R,val_seen,spl,74.36,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,R2R,val_seen,nDTW,80.27,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,R2R,val_seen,SDTW,72.29,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,R2R,val_seen,CLS,79.13,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,R2R,val_unseen,action_steps,6.12,
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,R2R,val_unseen,steps,7.06,
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,R2R,val_unseen,lengths,13.59,m
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,R2R,val_unseen,nav_error,2.72,m
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,R2R,val_unseen,oracle_error,1.4,m
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,R2R,val_unseen,sr,76.29,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,R2R,val_unseen,oracle_sr,84.8,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,R2R,val_unseen,spl,66.24,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,R2R,val_unseen,nDTW,71.32,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,R2R,val_unseen,SDTW,63.74,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,R2R,val_unseen,CLS,70.42,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,REVERIE,val_train_seen,action_steps,5.47,
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,REVERIE,val_train_seen,steps,5.63,
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,REVERIE,val_train_seen,lengths,10.57,m
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,REVERIE,val_train_seen,nav_error,0.84,m
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,REVERIE,val_train_seen,oracle_error,0.26,m
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,REVERIE,val_train_seen,sr,83.74,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,REVERIE,val_train_seen,oracle_sr,93.5,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,REVERIE,val_train_seen,spl,79.2,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,REVERIE,val_train_seen,rgs,0.0,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,REVERIE,val_train_seen,rgspl,0.0,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,REVERIE,val_train_seen,nDTW,92.26,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,REVERIE,val_train_seen,SDTW,79.87,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,REVERIE,val_train_seen,CLS,90.29,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,REVERIE,val_seen,action_steps,6.33,
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,REVERIE,val_seen,steps,7.57,
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,REVERIE,val_seen,lengths,14.61,m
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,REVERIE,val_seen,nav_error,4.64,m
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,REVERIE,val_seen,oracle_error,2.56,m
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,REVERIE,val_seen,sr,57.84,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,REVERIE,val_seen,oracle_sr,65.71,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,REVERIE,val_seen,spl,52.54,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,REVERIE,val_seen,rgs,0.0,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,REVERIE,val_seen,rgspl,0.0,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,REVERIE,val_seen,nDTW,65.03,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,REVERIE,val_seen,SDTW,52.09,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,REVERIE,val_seen,CLS,66.37,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,REVERIE,val_unseen,action_steps,7.34,
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,REVERIE,val_unseen,steps,9.85,
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,REVERIE,val_unseen,lengths,18.89,m
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,REVERIE,val_unseen,nav_error,5.23,m
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,REVERIE,val_unseen,oracle_error,2.52,m
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,REVERIE,val_unseen,sr,45.84,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,REVERIE,val_unseen,oracle_sr,54.64,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,REVERIE,val_unseen,spl,35.85,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,REVERIE,val_unseen,rgs,0.0,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,REVERIE,val_unseen,rgspl,0.0,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,REVERIE,val_unseen,nDTW,48.36,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,REVERIE,val_unseen,SDTW,33.45,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,REVERIE,val_unseen,CLS,50.88,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,CVDN,val_seen,lengths,30.56,m
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,CVDN,val_seen,nav_error,12.72,m
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,CVDN,val_seen,oracle_sr,47.12,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,CVDN,val_seen,sr,28.27,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,CVDN,val_seen,spl,25.01,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,CVDN,val_seen,oracle_path_success_rate,84.55,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,CVDN,val_seen,dist_to_end_reduction,9.06,m
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,CVDN,val_seen,nDTW,41.69,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,CVDN,val_seen,SDTW,24.57,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,CVDN,val_seen,CLS,52.4,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,CVDN,val_unseen,lengths,31.08,m
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,CVDN,val_unseen,nav_error,12.94,m
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,CVDN,val_unseen,oracle_sr,53.03,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,CVDN,val_unseen,sr,24.04,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,CVDN,val_unseen,spl,16.98,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,CVDN,val_unseen,oracle_path_success_rate,80.6,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,CVDN,val_unseen,dist_to_end_reduction,6.76,m
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,CVDN,val_unseen,nDTW,30.49,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,CVDN,val_unseen,SDTW,15.63,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,CVDN,val_unseen,CLS,40.0,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,SOON,val_seen,action_steps,12.29,
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,SOON,val_seen,steps,18.52,
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,SOON,val_seen,lengths,33.09,m
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,SOON,val_seen,nav_error,7.87,m
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,SOON,val_seen,oracle_error,4.0,m
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,SOON,val_seen,sr,51.24,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,SOON,val_seen,oracle_sr,61.59,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,SOON,val_seen,spl,40.38,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,SOON,val_seen,det_sr,0.0,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,SOON,val_seen,det_spl,0.0,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,SOON,val_seen,nDTW,48.16,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,SOON,val_seen,SDTW,37.99,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,SOON,val_seen,CLS,52.62,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,SOON,val_unseen,action_steps,12.68,
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,SOON,val_unseen,steps,17.65,
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,SOON,val_unseen,lengths,34.75,m
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,SOON,val_unseen,nav_error,8.13,m
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,SOON,val_unseen,oracle_error,4.52,m
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,SOON,val_unseen,sr,36.34,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,SOON,val_unseen,oracle_sr,54.01,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,SOON,val_unseen,spl,25.66,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,SOON,val_unseen,det_sr,0.0,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,SOON,val_unseen,det_spl,0.0,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,SOON,val_unseen,nDTW,36.81,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,SOON,val_unseen,SDTW,21.52,%
0007_same_val_all_r2r_reverie_cvdn_soon_same_s0_v2,SOON,val_unseen,CLS,42.42,%
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,R2R,val_unseen,action_steps,6.12,
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,R2R,val_unseen,steps,7.06,
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,R2R,val_unseen,lengths,13.59,m
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,R2R,val_unseen,nav_error,2.72,m
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,R2R,val_unseen,oracle_error,1.4,m
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,R2R,val_unseen,sr,76.29,%
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,R2R,val_unseen,oracle_sr,84.8,%
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,R2R,val_unseen,spl,66.24,%
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,R2R,val_unseen,nDTW,71.32,%
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,R2R,val_unseen,SDTW,63.74,%
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,R2R,val_unseen,CLS,70.42,%
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,REVERIE,val_unseen,action_steps,7.34,
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,REVERIE,val_unseen,steps,9.85,
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,REVERIE,val_unseen,lengths,18.89,m
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,REVERIE,val_unseen,nav_error,5.23,m
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,REVERIE,val_unseen,oracle_error,2.52,m
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,REVERIE,val_unseen,sr,45.84,%
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,REVERIE,val_unseen,oracle_sr,54.64,%
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,REVERIE,val_unseen,spl,35.85,%
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,REVERIE,val_unseen,rgs,0.0,%
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,REVERIE,val_unseen,rgspl,0.0,%
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,REVERIE,val_unseen,nDTW,48.36,%
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,REVERIE,val_unseen,SDTW,33.45,%
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,REVERIE,val_unseen,CLS,50.88,%
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,CVDN,val_unseen,lengths,31.08,m
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,CVDN,val_unseen,nav_error,12.94,m
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,CVDN,val_unseen,oracle_sr,53.03,%
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,CVDN,val_unseen,sr,24.04,%
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,CVDN,val_unseen,spl,16.98,%
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,CVDN,val_unseen,oracle_path_success_rate,80.6,%
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,CVDN,val_unseen,dist_to_end_reduction,6.76,m
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,CVDN,val_unseen,nDTW,30.49,%
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,CVDN,val_unseen,SDTW,15.63,%
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,CVDN,val_unseen,CLS,40.0,%
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,SOON,val_unseen,action_steps,12.68,
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,SOON,val_unseen,steps,17.65,
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,SOON,val_unseen,lengths,34.75,m
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,SOON,val_unseen,nav_error,8.13,m
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,SOON,val_unseen,oracle_error,4.52,m
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,SOON,val_unseen,sr,36.34,%
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,SOON,val_unseen,oracle_sr,54.01,%
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,SOON,val_unseen,spl,25.66,%
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,SOON,val_unseen,det_sr,0.0,%
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,SOON,val_unseen,det_spl,0.0,%
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,SOON,val_unseen,nDTW,36.81,%
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,SOON,val_unseen,SDTW,21.52,%
0011_same_val_unseen_r2r_reverie_cvdn_soon_same_s0_v1,SOON,val_unseen,CLS,42.42,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,R2R,val_train_seen,action_steps,5.44,
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,R2R,val_train_seen,steps,5.76,
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,R2R,val_train_seen,lengths,11.18,m
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,R2R,val_train_seen,nav_error,1.28,m
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,R2R,val_train_seen,oracle_error,0.62,m
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,R2R,val_train_seen,sr,88.74,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,R2R,val_train_seen,oracle_sr,94.34,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,R2R,val_train_seen,spl,85.01,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,R2R,val_train_seen,nDTW,88.18,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,R2R,val_train_seen,SDTW,83.85,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,R2R,val_train_seen,CLS,87.06,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,R2R,val_seen,action_steps,5.63,
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,R2R,val_seen,steps,6.01,
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,R2R,val_seen,lengths,11.99,m
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,R2R,val_seen,nav_error,2.11,m
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,R2R,val_seen,oracle_error,1.23,m
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,R2R,val_seen,sr,80.22,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,R2R,val_seen,oracle_sr,86.58,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,R2R,val_seen,spl,74.36,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,R2R,val_seen,nDTW,80.27,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,R2R,val_seen,SDTW,72.29,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,R2R,val_seen,CLS,79.13,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,R2R,val_unseen,action_steps,6.12,
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,R2R,val_unseen,steps,7.06,
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,R2R,val_unseen,lengths,13.59,m
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,R2R,val_unseen,nav_error,2.72,m
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,R2R,val_unseen,oracle_error,1.4,m
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,R2R,val_unseen,sr,76.29,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,R2R,val_unseen,oracle_sr,84.8,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,R2R,val_unseen,spl,66.24,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,R2R,val_unseen,nDTW,71.32,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,R2R,val_unseen,SDTW,63.74,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,R2R,val_unseen,CLS,70.42,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,REVERIE,val_train_seen,action_steps,5.47,
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,REVERIE,val_train_seen,steps,5.63,
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,REVERIE,val_train_seen,lengths,10.57,m
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,REVERIE,val_train_seen,nav_error,0.84,m
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,REVERIE,val_train_seen,oracle_error,0.26,m
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,REVERIE,val_train_seen,sr,83.74,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,REVERIE,val_train_seen,oracle_sr,93.5,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,REVERIE,val_train_seen,spl,79.2,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,REVERIE,val_train_seen,rgs,0.0,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,REVERIE,val_train_seen,rgspl,0.0,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,REVERIE,val_train_seen,nDTW,92.26,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,REVERIE,val_train_seen,SDTW,79.87,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,REVERIE,val_train_seen,CLS,90.29,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,REVERIE,val_seen,action_steps,6.33,
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,REVERIE,val_seen,steps,7.57,
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,REVERIE,val_seen,lengths,14.61,m
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,REVERIE,val_seen,nav_error,4.64,m
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,REVERIE,val_seen,oracle_error,2.56,m
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,REVERIE,val_seen,sr,57.84,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,REVERIE,val_seen,oracle_sr,65.71,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,REVERIE,val_seen,spl,52.54,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,REVERIE,val_seen,rgs,0.0,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,REVERIE,val_seen,rgspl,0.0,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,REVERIE,val_seen,nDTW,65.03,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,REVERIE,val_seen,SDTW,52.09,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,REVERIE,val_seen,CLS,66.37,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,REVERIE,val_unseen,action_steps,7.34,
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,REVERIE,val_unseen,steps,9.85,
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,REVERIE,val_unseen,lengths,18.89,m
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,REVERIE,val_unseen,nav_error,5.23,m
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,REVERIE,val_unseen,oracle_error,2.52,m
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,REVERIE,val_unseen,sr,45.84,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,REVERIE,val_unseen,oracle_sr,54.64,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,REVERIE,val_unseen,spl,35.85,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,REVERIE,val_unseen,rgs,0.0,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,REVERIE,val_unseen,rgspl,0.0,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,REVERIE,val_unseen,nDTW,48.36,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,REVERIE,val_unseen,SDTW,33.45,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,REVERIE,val_unseen,CLS,50.88,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,CVDN,val_seen,lengths,30.56,m
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,CVDN,val_seen,nav_error,12.72,m
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,CVDN,val_seen,oracle_sr,47.12,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,CVDN,val_seen,sr,28.27,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,CVDN,val_seen,spl,25.01,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,CVDN,val_seen,oracle_path_success_rate,84.55,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,CVDN,val_seen,dist_to_end_reduction,9.06,m
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,CVDN,val_seen,nDTW,41.69,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,CVDN,val_seen,SDTW,24.57,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,CVDN,val_seen,CLS,52.4,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,CVDN,val_unseen,lengths,31.08,m
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,CVDN,val_unseen,nav_error,12.94,m
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,CVDN,val_unseen,oracle_sr,53.03,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,CVDN,val_unseen,sr,24.04,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,CVDN,val_unseen,spl,16.98,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,CVDN,val_unseen,oracle_path_success_rate,80.6,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,CVDN,val_unseen,dist_to_end_reduction,6.76,m
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,CVDN,val_unseen,nDTW,30.49,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,CVDN,val_unseen,SDTW,15.63,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,CVDN,val_unseen,CLS,40.0,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,SOON,val_seen,action_steps,12.29,
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,SOON,val_seen,steps,18.52,
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,SOON,val_seen,lengths,33.09,m
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,SOON,val_seen,nav_error,7.87,m
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,SOON,val_seen,oracle_error,4.0,m
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,SOON,val_seen,sr,51.24,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,SOON,val_seen,oracle_sr,61.59,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,SOON,val_seen,spl,40.38,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,SOON,val_seen,det_sr,0.0,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,SOON,val_seen,det_spl,0.0,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,SOON,val_seen,nDTW,48.16,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,SOON,val_seen,SDTW,37.99,%
0013_same_val_all_r2r_reverie_cvdn_soon_same_s0_v4,SOON,val_seen,CLS,52.62,%
